tratamento,bloco,n_frutos_cum
1,1,37.5
1,1,42.5
1,1,44.5
1,2,21.0
1,2,23.5
1,2,32.0
1,3,25.0
1,3,30.0
1,3,37.0
2,1,14.5
2,1,16.0
2,1,25.0
2,2,36.5
2,2,37.5
2,2,39.5
2,3,29.5
2,3,41.5
2,3,47.5
3,1,30.5
3,1,37.5
3,1,45.5
3,2,28.0
3,2,40.0
3,2,43.0
3,3,26.5
3,3,32.5
3,3,35.5
4,1,33.5
4,1,39.0
4,1,43.5
4,2,33.5
4,2,39.0
4,2,46.5
4,3,37.5
4,3,44.5
4,3,53.0
5,1,27.5
5,1,34.0
5,1,44.0
5,2,33.0
5,2,37.0
5,2,42.5
5,3,32.0
5,3,37.5
5,3,45.0
6,1,33.5
6,1,36.0
6,1,40.5
6,2,41.0
6,2,47.0
6,2,52.0
6,3,27.5
6,3,37.5
6,3,42.5
7,1,33.5
7,1,41.0
7,1,44.5
7,2,31.5
7,2,31.5
7,2,46.5
7,3,23.5
7,3,25.5
7,3,31.5
8,1,34.0
8,1,35.0
8,1,43.0
8,2,38.5
8,2,43.5
8,2,54.5
8,3,33.0
8,3,36.0
8,3,43.0
9,1,26.5
9,1,27.5
9,1,33.5
9,2,31.0
9,2,38.0
9,2,49.0
9,3,31.0
9,3,38.0
9,3,48.0
10,1,27.0
10,1,29.0
10,1,33.0
10,2,28.0
10,2,33.0
10,2,37.0
10,3,31.0
10,3,35.5
10,3,43.5
11,1,32.5
11,1,32.5
11,1,47.5
11,2,33.0
11,2,44.0
11,2,49.0
11,3,29.5
11,3,39.0
11,3,44.5
12,1,20.5
12,1,28.0
12,1,34.0
12,2,38.0
12,2,45.0
12,2,56.5
12,3,32.0
12,3,34.5
12,3,47.0
