"tratamento","bloco","colheita","n_frutos","n_frutos_cum","peso","comprimento","largura"
1,1,1,1,1,332,70,91.5
1,1,2,4.5,5.5,1666.5,72,88.7777777777778
1,1,3,0.5,6,113,64,78
1,1,4,6.5,12.5,1896.5,70.4615384615385,85.8461538461538
1,1,5,4.5,17,1126,66.8888888888889,79.2222222222222
1,2,1,0,0,0,0,0
1,2,2,0.5,0.5,212.465,69,101
1,2,3,4,4.5,922,65.375,78.625
1,2,4,6.5,11,2242.5,73.1538461538462,93.2307692307692
1,2,5,4,15,1159.5,69.875,84.625
1,3,1,0,0,0,0,0
1,3,2,1,1,268,65,85.5
1,3,3,2,3,338.5,52.5,69.5
1,3,4,10.5,13.5,2745,65.2380952380952,83.6666666666667
1,3,5,2.5,16,788.5,68.2,90.6
2,1,1,1,1,213.5,56,78
2,1,2,1.5,2.5,509.5,68.3333333333333,91.6666666666667
2,1,3,5.5,8,1455.5,64.9090909090909,84.0909090909091
2,1,4,6.5,14.5,2065.5,73.6923076923077,89.5384615384615
2,1,5,4.5,19,1265.5,69.2222222222222,84.5555555555556
2,2,1,1,1,351,68,90
2,2,2,2,3,942,78.5,105.5
2,2,3,3,6,652.5,63.1666666666667,77.6666666666667
2,2,4,8.5,14.5,2396,69.9411764705882,83.6470588235294
2,2,5,5,19.5,1408.5,70.3,83.2
2,3,1,1.5,1.5,668.5,74.6666666666667,102
2,3,2,1,2.5,353,75,92.5
2,3,3,2.5,5,720,69.6,85.6
2,3,4,8,13,2507,71.375,87.6875
2,3,5,4.5,17.5,1012,66.3333333333333,74.1111111111111
3,1,1,2,2,823.5,78.5,93.25
3,1,2,2,4,650.5,67.5,90
3,1,3,2.5,6.5,493.5,57,73.6
3,1,4,8.5,15,2537.5,69.7647058823529,88.2941176470588
3,1,5,3.5,18.5,818.5,62.8571428571429,77.5714285714286
3,2,1,0,0,0,0,0
3,2,2,0,0,0,0,0
3,2,3,1.5,1.5,313.5,61,76.3333333333333
3,2,4,11.5,13,2942,65.6521739130435,79.9565217391304
3,2,5,3.5,16.5,1066.5,69.1428571428571,87.8571428571429
3,3,1,0.5,0.5,191,69,102
3,3,2,1,1.5,352,68,95.5
3,3,3,1.5,3,523.5,67,90.3333333333333
3,3,4,6,9,1549,65,83.1666666666667
3,3,5,5,14,1604,67,91.1
4,1,1,1.5,1.5,624.5,75.6666666666667,101
4,1,2,0.5,2,195.5,75,97
4,1,3,2,4,527.5,66.25,82.25
4,1,4,8,12,2267.5,66.5,85.625
4,1,5,4,16,1069,66.625,81.875
4,2,1,1.5,1.5,399,63,92
4,2,2,1,2.5,305,66,90
4,2,3,2,4.5,434.5,61.25,79.25
4,2,4,4.5,9,1258,68.3333333333333,85.3333333333333
4,2,5,5.5,14.5,1285.5,64,78.0909090909091
4,3,1,0.5,0.5,259,77,118
4,3,2,1.5,2,539,73.6666666666667,105.333333333333
4,3,3,0.5,2.5,117.5,63,82
4,3,4,3.5,6,1151.5,70.2857142857143,90
4,3,5,3,9,695,64.1666666666667,75.8333333333333
5,1,1,1.5,1.5,483,72,90
5,1,2,1.5,3,578,74,95.6666666666667
5,1,3,1.5,4.5,363.5,65.6666666666667,78.3333333333333
5,1,4,7,11.5,1593.5,64.5,75.2142857142857
5,1,5,0,11.5,0,0,0
5,2,1,2.5,2.5,1096.5,76.6,104.4
5,2,2,2.5,5,897.5,69.4,93.2
5,2,3,1.5,6.5,367,62.6666666666667,76.6666666666667
5,2,4,6.5,13,2152.5,73.3076923076923,86.8461538461538
5,2,5,3.5,16.5,1082.5,71,88.2857142857143
5,3,1,1.5,1.5,521,70,90
5,3,2,2.5,4,973.5,74.8,96.4
5,3,3,0.5,4.5,143,66,92
5,3,4,6,10.5,1987.5,69.8333333333333,89.6666666666667
5,3,5,7,17.5,2178.5,69.9285714285714,86.9285714285714
6,1,1,2.5,2.5,802.5,67,91.2
6,1,2,3,5.5,759,62.6666666666667,81.6666666666667
6,1,3,4,9.5,908,59.5,78
6,1,4,6.5,16,1942,67.6153846153846,84.3846153846154
6,1,5,6.5,22.5,1720,67.5384615384615,81.9230769230769
6,2,1,1.5,1.5,601.5,70,96
6,2,2,2,3.5,757.5,70.75,96.25
6,2,3,2,5.5,467,63,79
6,2,4,5,10.5,1453,67.1,85.3
6,2,5,7.5,18,1849.5,65.4666666666667,79.8
6,3,1,1.5,1.5,593.5,73,108
6,3,2,1,2.5,473,73,106
6,3,3,3,5.5,564,59.6666666666667,73.3333333333333
6,3,4,5,10.5,1775,71.8,92.2
6,3,5,1,11.5,394,79,98
7,1,1,3,3,860,75,91
7,1,2,0,3,0,0,0
7,1,3,3,6,1045,73.3333333333333,93.3333333333333
7,1,4,9,15,2266,68.6666666666667,79.5555555555556
7,1,5,4,19,1105,67.5,80
7,2,1,0,0,0,0,0
7,2,2,3,3,765,66,83.3333333333333
7,2,3,1,4,158,55,69
7,2,4,3,7,1115,76.6666666666667,92
7,2,5,5,12,1249,61.6,80.6
7,3,1,1,1,336,73,94
7,3,2,0,1,0,0,0
7,3,3,2,3,672.5,67.5,90
7,3,4,3.5,6.5,1080,69.2857142857143,88
7,3,5,7,13.5,2185,63.7142857142857,90.7142857142857
8,1,1,1,1,430,72,101
8,1,2,1,2,322,69,95
8,1,3,4,6,880,63.5,78.25
8,1,4,12,18,2769,73.1,87.6
8,1,5,3,21,899,72.6666666666667,86.6666666666667
8,2,1,0.5,0.5,149,70,87
8,2,2,1,1.5,347,69,92.5
8,2,3,1.5,3,500,69.6666666666667,90
